"date","value","series_code","source","extracted_at","series_name","series_description","unit","_loaded_at"
"2020-04-28 03:00:00",5.5677,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-29 03:00:00",5.4285,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-30 03:00:00",5.4264,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-01 03:00:00",309.3314314125,IFS12_SOJAGP12,IPEA,"2025-12-31 17:16:04",soja_internacional,Soja em grão - cotação internacional,US$/ton,2026-01-01 21:22:55.024
"2020-05-04 03:00:00",5.5811,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-05 03:00:00",5.5348,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-06 03:00:00",5.667,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-07 03:00:00",5.8359,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-08 03:00:00",5.7647,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-11 03:00:00",5.7948,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-12 03:00:00",5.7717,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-13 03:00:00",5.9016,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-14 03:00:00",5.9366,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-15 03:00:00",5.8223,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-18 03:00:00",5.7369,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-19 03:00:00",5.721,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-05-20 03:00:00",5.6962,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
